Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,249574,pulsar-18-12,27486
19.3,267391,pulsar-19-12,29358
19.6,293877,pulsar-19-3,32957
19.9,328489,pulsar-19-6,37939
19.12,342025,pulsar-19-9,39816
20.3,350284,pulsar-20-12,40912
20.6,376199,pulsar-20-3,43620
20.9,394011,pulsar-20-6,45659
20.12,407406,pulsar-20-9,48023
21.3,334654,pulsar-21-12,33896
21.6,355459,pulsar-21-3,36312
21.9,369299,pulsar-21-6,38047
21.12,379114,pulsar-21-9,39505
22.3,393874,pulsar-22-12,41723
22.6,410777,pulsar-22-3,44307
22.9,432477,pulsar-22-6,47244
22.12,445998,pulsar-22-9,48931
23.3,464178,pulsar-23-12,50992
23.6,471269,pulsar-23-3,51750
23.9,478235,pulsar-23-6,52647
23.12,478900,pulsar-23-9,53385
24.3,485479,pulsar-24-3,54311
